"Key";"Node0";"Node1";"Node2";"Node3";"Node4";"Node5";"Node6";"Node7";"Node8";"Node9";"Node10";"Node11";"Node12";"Node13";"Node14";"Node15";"Node16";"Node17";"Node18";"Node19";"Node20";"Node21";"Node22";"Node23";"Node24";"Node25";"Node26";"Node27";"Node28";"Node29";"Node30";"Node31";"Node32";"Node33";"Node34";"Node35";"Node36";"Node37";"Node38";"Node39";"Node40";"Node41";"Node42";"Node43";"Node44";"Node45";"Node46";"Node47";"Node48";"Node49"
"setUp";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"---------sent messages----------";4;12;54;31;12;18;20;12;13;12;6;8;17;8;6;15;12;4;10;12;13;3;3;12;7;7;4;4;5;4;8;3;6;4;3;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"GROUP_LEADER_COMMAND";2;4;35;12;5;6;6;3;2;1;0;1;7;1;1;6;3;0;1;4;3;0;0;4;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"G_DISCOVERED_N";1;3;8;5;3;4;4;3;2;2;1;2;4;2;2;4;3;1;2;3;3;1;1;3;2;2;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GROUP_LEADER_COMMAND_ACK";0;2;3;9;1;4;6;3;7;7;4;3;2;3;1;1;3;2;5;2;4;1;1;2;2;2;2;2;3;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GROUP_COORDINATION_COMMAND";1;2;7;4;2;3;3;2;1;1;0;1;3;1;1;3;2;0;1;2;2;0;0;2;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GROUP_COORDINATION_COMMAND_ACK";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"---------received messages----------";4;12;54;31;12;18;20;12;13;12;6;8;17;8;6;15;12;4;10;12;13;3;3;12;7;7;4;4;5;4;8;3;6;4;3;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"GROUP_LEADER_COMMAND";0;2;3;9;1;4;6;3;7;7;4;3;2;3;1;1;3;2;5;2;4;1;1;2;2;2;2;2;3;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"G_DISCOVERED_N";1;3;8;5;3;4;4;3;2;2;1;2;4;2;2;4;3;1;2;3;3;1;1;3;2;2;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GROUP_COORDINATION_COMMAND";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"GROUP_LEADER_COMMAND_ACK";2;4;35;12;5;6;6;3;2;1;0;1;7;1;1;6;3;0;1;4;3;0;0;4;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GROUP_COORDINATION_COMMAND_ACK";1;2;7;4;2;3;3;2;1;1;0;1;3;1;1;3;2;0;1;2;2;0;0;2;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"---------Groups----------";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"leaded groups";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"followed groups";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"leaded universe size";2;3;8;5;3;4;4;3;2;2;1;2;4;2;2;4;3;1;2;3;3;1;1;3;2;2;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sent";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Avdev";5.624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AV";8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"max";54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"min";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"receive";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AV";8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
